@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute label {other,fall}

@data
-0.03352,-0.03352,-0.03352,-0.107742,-0.107742,-0.107742,-0.058441,0.374384,9.677591,0.000224,0.000112,0.000395,0.014977,0.010602,0.019868,0.000283,0.000071,-0.000032,-0.000327,-0.000539,-0.000643,-0.000144,-0.000234,-0.000216,0,0,0,0.000295,0.000322,0.000295,other
-0.031126,-0.031126,-0.031126,-0.079011,-0.079011,-0.079011,-0.052913,0.376114,9.678696,0.000077,0.000069,0.00007,0.00877,0.008307,0.008372,-0.000327,0.000071,-0.000032,-0.000327,-0.000539,-0.000643,-0.000327,-0.000112,-0.000521,0,0,0,0,0.000295,0.000258,other
-0.038308,-0.038308,-0.038308,-0.093377,-0.093377,-0.093377,-0.057995,0.382206,9.674626,0.00016,0.000096,0.000066,0.012648,0.00978,0.008104,0.001673,0.008142,0.000176,-0.000327,-0.000539,-0.000643,0.000078,0.001432,-0.000091,0,0.000011,0,0.000637,0.003257,0.000305,other
16.015305,16.015305,16.015305,-8.219545,-8.219545,-8.219545,3.266008,2.730562,-0.803606,47.029251,59.442303,262.881744,6.857788,7.709883,16.213628,3.895328,6.213922,1.973271,-5.001314,-4.420021,-1.918552,0.532514,-0.579144,0.022045,5.530519,8.579535,1.564985,2.351705,2.929084,1.250994,fall
6.129344,6.129344,6.129344,-22.613926,-22.613926,-22.613926,-3.532952,1.667812,8.257455,79.63665,480.716583,417.237213,8.923937,21.92525,20.426385,8.61976,10.643306,4.328767,-6.817416,-5.989944,-5.371162,1.33061,0.829572,0.560889,19.944078,17.463675,9.071705,4.465879,4.178956,3.011927,fall
9.395134,9.395134,9.395134,-11.317737,-11.317737,-11.317737,-2.063625,-2.836258,0.590189,31.076033,21.009262,89.618011,5.574588,4.583586,9.466679,2.090832,13.466724,6.607295,-2.337331,-10.528673,-2.890439,-0.373765,0.820898,0.836573,2.023795,45.7285,7.532835,1.422602,6.762285,2.744601,fall
5.104594,5.104594,5.104594,-2.700742,-2.700742,-2.700742,0.089974,6.355489,7.544562,1.756942,1.284596,2.308895,1.325497,1.1334,1.519505,0.327264,0.074726,0.234137,-0.131496,-0.913654,-0.805555,0.013157,-0.249094,-0.062621,0.023501,0.076383,0.133183,0.153302,0.276375,0.364943,other
1.68557,1.68557,1.68557,-3.201145,-3.201145,-3.201145,-0.713042,5.800743,7.62534,1.759685,2.699422,8.827631,1.326531,1.642992,2.971133,0.316879,0.247601,0.494366,-0.416159,-0.564239,-0.985761,-0.064057,-0.277804,-0.342642,0.058068,0.095699,0.23021,0.240974,0.309353,0.479802,other
1.98246,1.98246,1.98246,-2.387092,-2.387092,-2.387092,-0.238523,3.628683,9.225779,1.215721,2.292632,2.985583,1.102597,1.514144,1.727884,0.708444,1.333108,2.455854,0.021831,-0.677249,0.232916,0.229098,0.601597,1.392949,0.046225,0.391484,0.643399,0.215,0.625687,0.802121,other
1.04151,1.04151,1.04151,-0.632089,-0.632089,-0.632089,0.516826,3.586961,8.956139,0.116713,0.506104,0.127548,0.341633,0.71141,0.357139,0.445772,0.732628,0.109521,-0.502902,-0.142742,-0.307089,-0.098387,0.18963,-0.117843,0.114123,0.141954,0.022748,0.337821,0.376768,0.150823,other
1.56825,1.56825,1.56825,0.505192,0.505192,0.505192,0.977689,3.743608,8.900956,0.038838,0.055716,0.058309,0.197074,0.236041,0.241472,0.193484,0.069228,0.067982,-0.260389,-0.318671,-0.509897,-0.035835,-0.071515,-0.116805,0.014912,0.015411,0.04421,0.122113,0.124142,0.210262,other
16.932312,16.932312,16.932312,-12.172493,-12.172493,-12.172493,1.039509,-6.378269,2.371261,20.665531,30.033901,31.297913,4.545936,5.480319,5.594454,1.660172,0.489503,3.885279,-1.10827,-3.894066,-0.781732,0.118409,-0.65593,0.402186,0.802564,1.966483,1.880465,0.895859,1.402314,1.371301,other
16.575565,16.575565,16.575565,-5.827665,-5.827665,-5.827665,1.41122,-1.453183,5.521609,16.125271,35.905792,25.950766,4.015628,5.992144,5.094189,1.459197,0.400317,0.166331,-1.869408,-1.565447,-1.547757,0.247973,-0.00823,-0.439525,1.332821,0.312452,0.25603,1.154479,0.558974,0.505995,other
3.41663,3.41663,3.41663,-2.142876,-2.142876,-2.142876,0.030274,2.950066,9.145731,1.699409,1.961992,2.617986,1.303614,1.400711,1.618019,0.964396,0.751565,1.620801,-0.753968,-0.796979,-0.584422,0.055307,0.055239,0.071953,0.272769,0.241294,0.40728,0.522272,0.491217,0.638185,other
