@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute label {other,fall,run}

@data
4.786155,3.83084,12.550789,-0.555472,-0.373507,6.505245,1.895811,0.972411,9.399492,1.66529,0.751805,1.587926,1.290461,0.867067,1.260129,1.917814,0.881093,9.265843,0.548288,0.995194,0.78611,-1.509717,-1.003557,-0.648201,-0.080081,-0.074991,0.188439,0.172209,0.166721,0.108835,0.414981,0.408315,0.329902,0.003702,-0.093979,0.206705,5.260782,5.260782,5.260782,1.443928,1.443928,1.443928,3.570588,3.06705,8.422643,1.607876,1.411227,0.080706,1.268021,1.187951,0.284089,3.655307,2.548323,8.405099,0.0856,0.0856,0.0856,-3.304574,-3.304574,-3.304574,-1.693598,-1.526801,0.827557,0.669902,0.677216,1.28312,0.818476,0.822932,1.132749,-1.858053,-1.658236,0.646106,0.136506,-0.199393,-0.30065,0.916314,-0.018895,-0.298955,-0.617912,0.723748,0.042774,-0.253939,-0.499236,0.814683,0.003389,0.000897,0.01279,0.003839,0.058219,0.029951,0.113094,0.061962,0.007543,-0.261447,-0.550515,0.801459,other
11.839689,3.390293,16.278675,-7.632948,-6.32328,1.137281,0.179307,-0.352222,9.195356,12.289441,1.160443,4.571713,3.50563,1.077239,2.138156,1.036721,-0.517163,9.052753,3.401029,8.946216,1.509986,-2.855453,-4.382864,-2.626794,0.253161,0.353431,-0.448711,0.986304,3.783217,0.700734,0.993128,1.945049,0.837098,0.16161,0.080728,-0.409964,7.082148,7.082148,7.082148,-3.961472,-3.961472,-3.961472,1.863333,1.601046,8.673221,14.219297,0.521559,0.319982,3.770848,0.722191,0.56567,3.829828,1.663239,8.655794,5.996238,5.996238,5.996238,-6.207962,-6.207962,-6.207962,-1.680889,-1.956644,0.531305,3.48729,1.673147,4.160452,1.867429,1.293502,2.039719,-1.936957,-1.922892,0.728375,0.263327,0.118934,-0.205063,0.957181,-0.072389,-0.398453,-0.641111,0.719381,0.055972,-0.132354,-0.347109,0.899325,0.009664,0.027849,0.010445,0.002625,0.098306,0.166881,0.1022,0.051235,0.009382,-0.21612,-0.336757,0.908587,other
3.624932,4.740664,15.38561,-6.58665,-1.113338,4.800521,-1.877782,1.705849,8.975107,7.126373,1.457386,4.275151,2.669527,1.207222,2.067644,-1.817255,1.666415,9.091062,2.807879,4.054407,1.446456,-2.212823,-6.783565,-1.899864,0.083676,-0.341441,-0.124659,0.854361,2.11656,0.45217,0.924316,1.45484,0.672436,0.176882,-0.266243,-0.163785,1.171204,1.171204,1.171204,-4.878056,-4.878056,-4.878056,-1.963108,3.954009,8.451172,4.665245,0.471346,0.176586,2.159918,0.686547,0.420222,-2.56032,3.882702,8.398193,3.347469,3.347469,3.347469,-4.140872,-4.140872,-4.140872,0.077737,-2.254673,0.532003,1.904801,1.080071,3.857737,1.380145,1.039265,1.964112,0.198294,-2.236825,0.534456,0.308371,0.043174,-0.655256,0.704117,0.038248,-0.284478,-0.824007,0.501439,0.207493,-0.102015,-0.767768,0.581803,0.007376,0.008432,0.001293,0.001662,0.085884,0.091824,0.035952,0.040772,0.234133,-0.131449,-0.770897,0.586824,other
5.511621,2.083019,15.081537,-1.350371,-3.191568,6.263423,1.616902,0.497219,9.627187,1.966857,0.882658,2.560775,1.402447,0.939499,1.600242,1.577827,0.663214,9.4095,3.64171,2.930414,2.734771,-1.62517,-3.01025,-1.38185,0.160267,0.096904,0.37286,0.8207,0.76915,0.899562,0.905925,0.877012,0.948452,0.019279,0.099054,0.385994,3.801484,3.801484,3.801484,0.994026,0.994026,0.994026,1.9252,3.032042,9.057507,0.56863,0.495531,0.180534,0.754075,0.70394,0.424893,1.83438,3.099316,9.201319,3.143023,3.143023,3.143023,-5.151855,-5.151855,-5.151855,-0.310908,-2.547896,0.591085,2.278937,1.157755,2.616636,1.509615,1.07599,1.617602,-0.11433,-2.359913,0.300239,0.106501,-0.110237,-0.503725,0.818555,-0.027714,-0.321933,-0.819422,0.545579,0.031467,-0.18484,-0.7356,0.640888,0.001079,0.001991,0.005453,0.004606,0.032855,0.044622,0.073844,0.067864,0.034604,-0.171087,-0.747598,0.638588,other
6.019207,3.244242,23.2939,-12.177281,-4.204347,0.548289,-3.837783,1.038852,8.548375,7.984967,1.719964,8.148361,2.825768,1.311474,2.854533,-4.189981,1.084607,8.310528,3.012519,6.751377,2.875269,-1.429693,-8.319891,-1.04954,-0.365859,0.411329,0.905803,0.642529,4.635546,0.543384,0.801579,2.153032,0.737146,-0.549437,-0.126355,0.916835,5.560639,5.560639,5.560639,-5.834203,-5.834203,-5.834203,-2.144734,0.556006,9.035672,7.492546,1.976454,0.246132,2.737251,1.405864,0.496117,-3.262731,0.26162,9.179487,4.156621,4.156621,4.156621,-10.489839,-10.489839,-10.489839,-1.664246,0.486007,-0.50408,3.785817,4.350392,7.943764,1.945718,2.085759,2.818468,-1.521628,0.826326,-0.74742,0.192174,0.283927,0.42125,0.980231,-0.118343,-0.327235,-0.494477,0.829602,0.003806,0.091385,0.065499,0.939149,0.007895,0.023361,0.073931,0.001219,0.088852,0.152844,0.271902,0.034916,-0.00571,0.160699,0.097482,0.944684,other
5.499649,5.69598,15.864465,-5.516409,-4.379128,1.324034,0.506078,2.464666,8.599206,3.779078,2.566237,6.592191,1.943985,1.601948,2.567526,0.646454,2.710319,8.48531,2.400432,4.584027,4.657774,-2.16823,-13.2679,-1.377574,0.105564,-0.497486,0.053298,0.720092,4.427514,0.759415,0.848582,2.104166,0.871444,0.061429,-0.174003,-0.145459,6.240993,6.240993,6.240993,-4.982668,-4.982668,-4.982668,1.630122,0.861736,9.432092,3.287152,0.435448,0.121987,1.813051,0.659884,0.349266,1.96789,0.816734,9.528613,3.581234,3.581234,3.581234,-7.118081,-7.118081,-7.118081,-1.163191,1.566681,-0.97829,2.398197,1.75459,5.780644,1.548611,1.324609,2.404297,-1.289423,1.76382,-1.047559,0.146026,0.226138,0.40917,0.968974,-0.140777,-0.312728,0.225209,0.863543,0.066106,-0.067049,0.311398,0.938355,0.003334,0.007001,0.002997,0.000461,0.057738,0.083674,0.054744,0.021465,0.074589,-0.081233,0.315452,0.935917,other
22.513367,2.827639,10.807756,-6.663267,-40.587746,-7.664073,6.199639,-6.295195,1.454426,24.77062,27.029657,7.326822,4.977009,5.199005,2.70681,6.088641,-6.526793,0.85715,2.39249,4.243164,5.771992,-1.466956,-4.726171,-1.634138,0.282886,-0.568426,1.117126,0.673313,2.112608,2.396375,0.820556,1.453481,1.548023,0.179936,-0.394525,0.882016,8.01156,8.01156,8.01156,-2.117019,-2.117019,-2.117019,4.4575,-7.266037,2.694235,10.059049,4.63576,1.715938,3.1716,2.153081,1.309938,5.639966,-7.453564,2.543607,15.095315,15.095315,15.095315,-5.921806,-5.921806,-5.921806,1.671365,0.931241,-1.186178,12.316649,19.287624,6.380745,3.509508,4.391768,2.526014,1.513072,0.746289,-1.340795,0.321124,0.641675,0.803124,0.828123,-0.27711,-0.612739,-0.750472,0.00465,0.109575,-0.15424,0.26186,0.242538,0.040858,0.289279,0.478377,0.036745,0.202134,0.537846,0.691648,0.191689,0.220432,-0.509418,0.718388,0.22108,other
15.998545,5.078257,10.769448,-4.247444,-19.367289,-8.56911,1.928905,-4.975601,2.886551,11.529603,35.400143,24.143129,3.395527,5.949802,4.913566,1.094184,-7.705974,0.744619,0.961844,1.405695,0.463573,-1.657546,-2.47391,-0.914539,-0.178886,-0.282095,-0.118703,0.333368,0.49637,0.092068,0.57738,0.704535,0.303428,-0.096175,-0.234478,-0.024508,2.666496,2.666496,2.666496,-2.283705,-2.283705,-2.283705,0.064283,-5.907365,3.917575,3.515516,22.562515,20.307507,1.874971,4.750002,4.506385,-0.001391,-9.423903,1.590219,3.016521,3.016521,3.016521,-3.965466,-3.965466,-3.965466,0.069893,0.60644,-1.382852,2.708506,4.653572,2.542575,1.645754,2.157214,1.594545,-0.358587,1.010171,-1.142879,0.086849,0.665803,0.319997,0.952032,-0.434976,-0.119642,-0.715149,0.263366,-0.150509,0.34511,-0.271173,0.579777,0.03514,0.124966,0.208964,0.084029,0.187458,0.353506,0.457126,0.289877,-0.106712,0.589604,-0.554893,0.397033,other
10.360027,4.240261,18.031284,-5.772596,-2.365544,0.318439,-0.726911,0.664992,9.536159,4.67475,1.164467,4.57825,2.162117,1.079105,2.139685,-0.675186,0.86553,9.78181,2.481066,7.365296,2.347482,-1.382046,-4.955245,-0.733722,-0.082393,0.15697,0.739758,0.449366,1.984715,0.632686,0.670347,1.408799,0.795416,-0.15665,-0.057938,0.387215,3.616454,3.616454,3.616454,-4.737555,-4.737555,-4.737555,-0.234543,-0.941437,9.427434,6.003614,0.251554,0.161554,2.450227,0.501551,0.401937,0.96386,-0.832517,9.622472,6.743574,6.743574,6.743574,-5.899289,-5.899289,-5.899289,-0.493724,1.606256,0.10336,6.052081,0.708788,5.224113,2.460098,0.841895,2.285632,-0.786104,1.715432,0.151842,0.083569,0.099137,0.842322,0.951701,-0.24245,-0.176903,0.302303,0.496356,-0.068062,-0.030987,0.485619,0.826161,0.008082,0.005799,0.038345,0.024581,0.089901,0.076149,0.195819,0.156782,-0.029447,-0.060908,0.381844,0.915772,other
6.155681,4.158855,17.286665,-15.668135,-2.044711,0.981653,-2.338297,1.750023,8.836478,6.9455,0.732326,4.556398,2.635432,0.85576,2.134572,-2.60976,1.66881,9.055147,2.118212,2.935302,0.987696,-1.555532,-10.721202,-2.348239,-0.005565,-0.252132,-0.191091,0.323478,2.546081,0.40819,0.568751,1.595644,0.638897,0.067537,-0.109862,-0.102088,0.833005,0.833005,0.833005,-5.354293,-5.354293,-5.354293,-3.89463,0.430983,8.838731,1.966386,0.541749,0.212371,1.402279,0.736036,0.460838,-4.158326,0.722142,8.85205,6.827489,6.827489,6.827489,-12.780982,-12.780982,-12.780982,1.56955,1.314371,-0.152661,4.737325,0.769504,4.772203,2.17654,0.877214,2.184537,1.898171,1.421719,0.173145,-0.009333,0.18596,0.882402,0.642912,-0.237028,-0.077431,0.732658,0.386474,-0.167013,0.122319,0.82887,0.505273,0.003135,0.003425,0.001754,0.006653,0.055993,0.058526,0.04188,0.081565,-0.184951,0.140606,0.838123,0.496055,other
