@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute label {other,fall}

@data
7.127756,7.127756,7.127756,-1.228263,-1.228263,-1.228263,1.385408,4.149211,8.671052,1.760925,0.255357,0.990886,1.326998,0.505329,0.995433,1.307274,4.216318,8.632558,0.231445,0.87932,0.172949,-0.289623,-1.209228,-1.361545,0.028821,-0.035511,-0.218616,0.026803,0.301413,0.230494,0.163717,0.549011,0.480098,-0.004349,-0.035145,0.012902,other
6.579467,6.579467,6.579467,-3.486064,-3.486064,-3.486064,-0.112424,1.852982,9.285024,3.493303,2.678893,5.838082,1.869038,1.636732,2.416212,-0.387873,1.972882,9.72315,0.351786,3.849347,1.973169,-0.615825,-2.207993,-1.298626,-0.09213,0.435099,0.438309,0.088653,2.790803,1.167031,0.297746,1.67057,1.080292,-0.190663,-0.057136,0.551685,other
1.489239,1.489239,1.489239,-11.473365,-11.473365,-11.473365,-5.241759,1.954287,8.102013,8.052667,2.753637,9.50368,2.837722,1.659409,3.082804,-5.585843,1.697541,7.216344,4.458633,6.42781,2.442313,-1.386126,-2.729671,-0.465405,0.705232,0.307123,0.324627,2.465324,5.73739,0.759707,1.570135,2.395285,0.871612,0.519774,-0.232454,0.089871,other
8.79896,8.79896,8.79896,-6.56989,-6.56989,-6.56989,0.678537,9.169461,0.166482,8.166264,2.627887,15.750735,2.857668,1.621076,3.96872,0.399844,9.007262,0.878699,1.765328,8.741157,2.265773,-2.78012,-10.180394,-3.218575,-0.122307,0.867592,-0.182453,1.951409,35.380878,3.428565,1.396928,5.948183,1.851638,0.216784,1.943448,-0.417147,other
10.405519,10.405519,10.405519,-3.550709,-3.550709,-3.550709,1.975224,8.412125,3.277736,9.673046,2.589421,18.430773,3.110152,1.609168,4.293108,1.173195,8.245882,2.384698,2.40918,0.6252,0.166229,-4.521697,-7.75526,-3.974215,-0.456817,-3.259475,-0.994537,3.216011,9.858279,1.511891,1.793324,3.13979,1.22959,-0.309171,-4.723536,-0.847807,other
10.965778,10.965778,10.965778,-2.011191,-2.011191,-2.011191,2.033591,9.687715,1.716482,8.54265,0.63232,6.270926,2.922781,0.795186,2.504182,1.230657,9.557945,2.09499,1.536253,11.43385,1.749592,-1.220581,-8.922012,-1.960193,0.17268,-0.149193,-0.028392,0.456987,31.542429,1.025985,0.676008,5.616265,1.012909,0.169137,-0.779179,-0.042687,other
10.063137,10.063137,10.063137,-4.728693,-4.728693,-4.728693,0.898332,8.528487,1.952877,10.008971,2.311974,19.010294,3.163696,1.520518,4.36008,0.395055,8.803748,1.051087,0.282147,13.264614,2.571206,-1.964615,-2.463334,-1.318784,-0.518636,1.011145,0.114917,0.546778,21.310835,1.199127,0.739444,4.616366,1.095047,-0.35804,-0.45542,0.109419,other
13.235551,13.235551,13.235551,-8.777411,-8.777411,-8.777411,-1.856148,1.945827,8.803935,12.409487,8.376544,5.259739,3.52271,2.894226,2.293412,-1.319245,0.679974,8.846846,1.20883,2.791939,1.00006,-1.326261,-2.505484,-1.472111,-0.303184,-0.195986,-0.107988,0.632968,2.293833,0.601863,0.795593,1.514541,0.775798,-0.337881,-0.307591,0.03245,other
3.99365,3.99365,3.99365,-6.541159,-6.541159,-6.541159,-0.216815,2.793666,8.650861,5.246428,3.018044,5.407204,2.290508,1.737252,2.325339,0.143656,2.569057,8.947405,2.261961,0.629476,0.705623,-2.218125,-2.399193,-0.633393,0.121673,-0.597446,-0.020024,1.395345,1.236893,0.182963,1.181247,1.112157,0.427742,-0.008014,-0.501846,-0.078728,other
22.973066,22.973066,22.973066,-14.626625,-14.626625,-14.626625,1.573411,-6.424531,-1.270642,46.935081,23.720665,17.546272,6.850918,4.870387,4.188827,-0.41421,-4.932206,-2.068653,1.695078,1.707043,4.229094,-2.595028,-3.496307,-0.379884,0.239142,-0.788708,1.355095,1.738098,1.937558,2.710389,1.318369,1.391962,1.646326,0.444026,-1.163413,0.347656,other
3.481276,3.481276,3.481276,-8.533195,-8.533195,-8.533195,0.00452,-3.976447,-6.258799,3.433962,29.445604,21.458925,1.853095,5.42638,4.632378,0.864333,-2.813273,-9.668081,1.024959,2.571417,0.086817,-1.748369,-0.374786,-0.874685,-0.097628,0.510052,-0.225702,0.787456,0.810032,0.073295,0.887387,0.900018,0.27073,-0.090481,0.112684,-0.24977,other
18.907589,18.907589,18.907589,-6.648901,-6.648901,-6.648901,2.669384,-1.300323,2.577908,18.184999,32.245098,54.069153,4.264387,5.678477,7.353173,1.529942,1.149252,5.160859,0.555204,0.649024,3.284086,-0.792365,-0.510398,-1.102538,-0.348571,-0.210708,0.174048,0.282027,0.169199,2.936593,0.531062,0.411338,1.713649,-0.792365,-0.510398,-1.102538,other
7.34803,7.34803,7.34803,1.84838,1.84838,1.84838,4.856015,1.274552,8.593292,0.84354,0.838439,2.001237,0.918445,0.915663,1.414651,4.731087,1.144463,8.391933,0.828871,1.45109,1.297552,-0.159509,-0.996036,-1.188059,0.386177,0.192769,0.308255,0.103618,0.494513,0.498081,0.321898,0.703216,0.705749,0.389048,0.185377,0.401412,other
4.316877,4.316877,4.316877,-2.248224,-2.248224,-2.248224,1.074471,1.61438,9.409473,3.767285,0.888021,0.469528,1.940949,0.942348,0.685221,1.048692,1.680781,9.328094,0.137983,0.041213,-0.018252,-0.519308,-0.594697,-2.411622,-0.214731,-0.266418,-1.209256,0.040493,0.037059,0.853839,0.201228,0.192508,0.924034,-0.253582,-0.284378,-1.201498,other
8.406299,8.406299,8.406299,-0.404632,-0.404632,-0.404632,2.23878,1.890626,9.213728,3.645777,0.58316,1.189865,1.909392,0.763649,1.090809,1.726272,1.83162,9.239507,0.457465,0.517688,0.698904,-0.151567,-0.299039,-0.02375,0.01471,-0.034901,0.333729,0.037024,0.07855,0.048055,0.192416,0.280267,0.219216,-0.105142,-0.041864,0.419127,other
3.18678,3.18678,3.18678,-1.747821,-1.747821,-1.747821,0.712696,1.908077,9.243178,1.867086,1.105881,1.509225,1.366414,1.051609,1.228505,0.452518,2.032739,9.028811,0.775115,0.755315,0.981123,-0.761822,-0.609969,-0.589411,-0.00948,0.043107,0.13758,0.195042,0.199519,0.284584,0.441635,0.446676,0.533464,-0.095368,-0.106616,0.185777,other
5.286559,5.286559,5.286559,-1.209109,-1.209109,-1.209109,1.936615,0.994794,9.522357,1.94836,2.888012,5.998596,1.395837,1.699415,2.449203,1.901054,1.297697,9.553157,0.318188,0.677124,1.376964,-0.442339,-0.468859,-0.568031,0.004814,0.02472,0.143383,0.073872,0.138074,0.310295,0.271795,0.371583,0.557041,-0.100255,-0.042475,0.111862,other
4.635316,4.635316,4.635316,-1.316851,-1.316851,-1.316851,1.491846,1.206768,9.313809,1.749804,2.431775,5.136507,1.322802,1.559415,2.266386,1.525153,1.577827,9.249084,0.239997,0.435832,0.921259,-0.225482,-0.548883,-0.446469,-0.015528,0.036632,0.197872,0.027868,0.123322,0.176894,0.166938,0.351173,0.420588,-0.078874,0.140173,0.117971,other
3.7638,3.7638,3.7638,-6.498062,-6.498062,-6.498062,1.453813,2.46695,9.056239,1.69329,2.341079,6.02902,1.301265,1.530058,2.455406,1.62691,2.711516,8.849239,0.684096,0.669794,0.662252,-0.309171,-0.085236,-0.269929,0.200902,0.229604,0.27026,0.105844,0.063847,0.11537,0.325337,0.252679,0.339662,0.117213,0.207979,0.293289,other
3.205934,3.205934,3.205934,-4.156461,-4.156461,-4.156461,0.57182,3.139203,9.103033,0.970883,1.326291,4.315831,0.985334,1.151647,2.077458,0.496812,3.21192,9.088667,0.304138,0.529295,0.411186,-0.191274,-0.332025,-0.269929,0.037984,0.304191,-0.0502,0.020489,0.086769,0.074687,0.143141,0.294566,0.273289,0.082394,0.330763,-0.269929,other
3.598595,3.598595,3.598595,-2.55948,-2.55948,-2.55948,0.602559,2.224734,9.442169,1.657713,1.001806,5.506782,1.287522,1.000903,2.346653,0.67758,2.152453,9.270632,0.34751,1.339302,0.770375,-0.357429,-0.624019,-0.440971,0.01807,0.05172,0.128783,0.050912,0.278976,0.152954,0.225638,0.528182,0.391094,-0.050164,-0.143268,0.15279,other
2.585817,2.585817,2.585817,-1.640078,-1.640078,-1.640078,0.452678,1.677056,9.745816,0.85741,1.112585,6.251435,0.925965,1.054792,2.500287,0.493221,1.699935,9.826104,1.055502,1.005159,1.565111,-0.854062,-0.658228,-0.227168,0.136883,0.180185,0.774712,0.306234,0.237876,0.406823,0.553384,0.487725,0.637826,0.208843,0.043046,0.706845,other
3.818868,3.818868,3.818868,-1.525153,-1.525153,-1.525153,1.018684,3.272176,9.033147,1.106281,1.658473,5.330429,1.051799,1.287817,2.308772,0.962498,3.426207,8.480521,0.567421,0.481647,0.467997,-0.333605,-0.851261,-0.683484,0.002554,0.006455,-0.012999,0.068029,0.193716,0.159145,0.260824,0.440131,0.39893,-0.045277,0.012503,-0.175244,other
4.106181,4.106181,4.106181,-0.756591,-0.756591,-0.756591,1.0986,3.715994,8.807207,0.802139,1.07266,4.162781,0.895622,1.035693,2.040289,0.921796,3.768589,8.466156,0.270541,0.426058,0.372702,-0.405687,-0.579426,-0.246105,-0.039901,-0.000265,0.013574,0.032789,0.069479,0.03262,0.181077,0.263589,0.180609,-0.084983,-0.04553,0.004961,other
20.200497,20.200497,20.200497,-1.479662,-1.479662,-1.479662,5.536894,-3.474306,3.103326,31.11907,32.800449,20.708221,5.578447,5.727168,4.550629,3.548315,-3.852388,2.707925,1.069552,0.154834,5.969449,-0.224871,-4.046697,-0.498392,0.375243,-1.022059,0.970494,0.147425,1.577296,3.454966,0.383959,1.255904,1.858754,0.166694,-0.655173,0.475938,other
6.761432,6.761432,6.761432,-8.190814,-8.190814,-8.190814,0.669067,-10.60991,-0.430411,6.679886,12.92775,9.051406,2.584548,3.595518,3.008555,0.744619,-10.750294,-0.105348,1.411637,1.337469,1.4802,-2.841818,-2.6863,-0.92783,-0.203063,-0.559695,-0.0232,2.692164,1.558973,0.446088,1.640782,1.248588,0.667898,-0.099644,-0.98504,-0.057347,other
5.389513,5.389513,5.389513,-6.000052,-6.000052,-6.000052,-0.272389,-9.491038,-0.759969,5.745978,14.429086,14.822613,2.397077,3.798564,3.850015,-0.323227,-9.134158,-0.148445,1.561299,1.477357,0.179668,-2.232174,-1.76145,-0.530768,0.261072,0.351594,-0.063884,1.657358,1.027766,0.066449,1.287384,1.013788,0.257776,0.633395,0.780971,0.003739,other
4.853195,4.853195,4.853195,-6.727912,-6.727912,-6.727912,-0.3792,-9.756723,-0.526474,5.893496,12.860343,9.385424,2.427652,3.586132,3.063564,-0.311256,-9.907509,-0.337593,1.673087,1.430932,0.387973,-2.879081,-1.864686,-0.501446,-0.337881,-0.155058,-0.074329,2.983274,1.252705,0.073071,1.727216,1.119243,0.270317,-0.855284,0.121237,-0.109882,other
