@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute label {other,fall,run}

@data
47.923805,8.437425,52.659679,-15.842916,-19.566013,-9.569917,-1.545504,-6.394082,5.678065,61.49712,18.433249,57.433674,7.84201,4.293396,7.578501,-4.113364,-7.151699,4.419831,1.701251,1.404727,1.020688,-3.538751,-5.121758,-3.479556,0.112085,-0.428254,-0.520904,1.227974,1.257312,0.726803,1.10814,1.121299,0.852527,0.266329,-0.211012,-0.352537,0.415186,0.415186,0.415186,-2.253409,-2.253409,-2.253409,-0.947306,4.380303,8.434293,0.329211,3.480373,1.184011,0.573769,1.865576,1.088123,-0.959205,4.22091,8.821678,49.270695,49.270695,49.270695,-14.79165,-14.79165,-14.79165,-0.478906,-10.700369,-2.800845,61.754765,21.215658,63.560635,7.85842,4.606046,7.972492,-3.150599,-10.298904,-4.317102,0.430144,0.218583,0.890883,0.946312,0.029546,-0.090064,-0.414978,0.395004,0.192479,0.102888,0.321358,0.81968,0.017296,0.005244,0.136052,0.020237,0.131514,0.072414,0.368852,0.142258,0.162106,0.114273,0.338807,0.893337,fall
14.265089,23.370516,35.624416,-25.56846,-15.706443,-14.435082,-1.445909,-3.175423,5.508082,64.410431,28.522169,35.240612,8.025611,5.340615,5.93638,0.849968,-4.215121,4.631724,4.787953,7.828586,3.270505,-5.583317,-2.252523,-5.136223,0.54032,0.401875,0.049767,3.012032,1.968939,1.194881,1.735521,1.403189,1.093106,0.345741,0.166503,0.144707,4.513361,4.513361,4.513361,-0.561148,-0.561148,-0.561148,1.431995,7.4884,4.751146,2.80298,3.067643,9.738841,1.67421,1.751469,3.120712,1.109648,8.388433,4.300842,9.969171,9.969171,9.969171,-27.951586,-27.951586,-27.951586,-2.841817,-10.558395,0.858234,63.33054,21.525747,51.367458,7.958049,4.639585,7.167109,-1.152413,-11.447594,-0.449845,0.782635,0.201286,0.329543,0.904712,0.228352,-0.367799,-0.455988,0.603509,0.443175,-0.067965,-0.048456,0.806736,0.025901,0.031346,0.083978,0.005893,0.160937,0.177048,0.28979,0.076764,0.490091,-0.091055,-0.121326,0.79764,fall
28.103998,10.625792,23.550087,-15.263502,-9.522031,-9.912297,1.1006,1.789912,6.221691,42.66832,45.001774,31.510773,6.532099,6.708336,5.613446,0.196331,4.312089,6.069487,4.951054,2.404102,2.776315,-2.711029,-5.085716,-3.127087,0.595665,-0.500008,-0.217593,1.909297,1.445799,0.847138,1.381773,1.202414,0.920401,0.403163,-0.370448,-0.142399,4.989398,4.989398,4.989398,-2.480095,-2.480095,-2.480095,2.129893,4.371399,-5.536347,4.336152,15.673751,22.218237,2.082343,3.959009,4.713622,2.420328,5.141569,-7.770782,30.144455,30.144455,30.144455,-13.270231,-13.270231,-13.270231,-2.060097,-2.744721,12.086258,62.675056,94.184883,45.09214,7.916758,9.70489,6.715068,-2.937737,-7.22593,12.427614,0.999511,0.236084,0.34339,0.720717,-0.994265,-0.23259,-0.104596,0.00003,0.484845,-0.002724,0.146929,0.304986,0.53366,0.018171,0.02267,0.081324,0.73052,0.1348,0.150564,0.285173,0.795211,-0.023403,0.151805,0.283327,fall
18.830971,26.808695,32.784805,-19.319403,-9.155706,-7.182825,-1.396652,-2.4441,5.389177,37.122437,52.599834,41.158932,6.092818,7.252574,6.415523,-3.20354,-4.922629,3.624932,4.479466,1.668621,4.579589,-1.795952,-2.633093,-1.678115,0.824083,-0.663863,0.43428,1.874229,0.504308,0.759571,1.369025,0.710147,0.871534,0.298399,-0.570506,0.308114,7.901704,7.901704,7.901704,2.384451,2.384451,2.384451,5.414231,4.849351,-0.72738,3.288102,18.402084,21.483503,1.813312,4.289765,4.63503,5.717026,7.060123,1.751086,13.187862,13.187862,13.187862,-25.989178,-25.989178,-25.989178,-6.434916,-6.366074,6.746224,42.285099,104.112,63.474495,6.502699,10.203529,7.967088,-7.788122,-6.780847,5.379177,0.912546,0.16932,0.421621,0.762684,-0.955579,-0.195181,-0.406547,0.007784,0.328797,-0.030594,0.256382,0.503308,0.42006,0.01161,0.075453,0.069629,0.648121,0.107749,0.274687,0.263872,0.567064,-0.045741,0.39228,0.661527,fall
46.463299,5.013611,64.813019,-32.808746,-18.452677,-25.98267,-0.692161,-5.107898,5.453512,88.643898,15.863538,104.623428,9.415089,3.982906,10.228559,-3.354379,-6.557919,3.538738,3.035381,1.636245,2.778147,-7.015185,-4.407045,-4.654861,0.269103,-0.532812,-0.478855,2.123495,1.202332,1.140681,1.457222,1.096509,1.068026,-0.062011,-0.299282,-0.105442,6.100986,6.100986,6.100986,-0.571573,-0.571573,-0.571573,3.933248,0.158229,-8.220623,4.364709,8.073669,0.769294,2.089189,2.84142,0.877094,4.307998,1.673401,-7.798275,44.960667,44.960667,44.960667,-33.882511,-33.882511,-33.882511,-4.740443,-3.798906,14.157633,97.019913,39.786385,90.890015,9.849869,6.307645,9.533625,-7.018056,-4.166268,12.517755,0.938893,0.655787,0.357325,0.346853,-0.869682,-0.822568,-0.352706,0.00969,0.328471,-0.257746,0.092808,0.175233,0.457892,0.293282,0.033855,0.008043,0.676677,0.541555,0.183997,0.089685,0.632212,-0.458514,0.104841,0.152228,fall
10.35045,9.62259,46.77216,-37.877426,-9.002473,-19.879663,-1.038828,-3.333908,6.624384,48.599243,18.60704,67.787483,6.971316,4.313588,8.233315,1.920208,-4.175615,5.291348,3.470928,3.644769,5.048733,-4.357922,-2.769315,-1.411167,0.217499,0.657222,0.282255,1.724972,1.329096,1.01742,1.313382,1.152864,1.008672,0.043974,0.446585,0.168836,5.566813,5.566813,5.566813,0.810953,0.810953,0.810953,2.643143,-3.636551,-7.358164,1.445392,14.143436,6.412644,1.202244,3.760776,2.53232,2.258842,-4.09446,-8.743198,6.800705,6.800705,6.800705,-42.441044,-42.441044,-42.441044,-2.512242,0.68934,14.056278,56.497623,49.591652,57.897491,7.51649,7.042134,7.60904,0.235427,-0.297789,14.532589,0.801687,-0.590829,0.575202,0.365124,-0.310322,-0.908711,-0.017192,0.024788,0.338483,-0.808694,0.247385,0.119599,0.102223,0.005286,0.041729,0.008022,0.319724,0.072704,0.204276,0.089567,0.387919,-0.815664,0.231335,0.078534,fall
2.741445,4.166038,13.8006,-1.438959,0.009577,7.18043,0.961517,1.640797,9.574226,0.765298,0.806173,0.980661,0.874813,0.897872,0.990283,1.02475,1.625713,9.390346,0.536942,1.176874,0.275432,-2.155141,-1.018576,-1.127114,-0.175898,-0.041517,-0.258458,0.179852,0.121755,0.094616,0.42409,0.348933,0.307597,-0.09622,-0.092199,-0.219674,6.868677,6.868677,6.868677,3.117312,3.117312,3.117312,5.842782,-5.845389,-4.712302,1.348542,2.945329,1.411507,1.161268,1.716196,1.188068,6.44798,-4.921196,-5.498638,-1.966738,-1.966738,-1.966738,-12.616192,-12.616192,-12.616192,-6.361193,7.211675,13.721113,6.672414,3.585458,6.393607,2.583102,1.893531,2.528558,-5.608803,6.500618,14.562184,0.33354,-0.770915,0.530243,0.361692,-0.244945,-0.864141,0.34339,0.265,0.128748,-0.833809,0.40246,0.306178,0.027949,0.00074,0.00353,0.000523,0.16718,0.027197,0.059413,0.022864,0.187285,-0.845897,0.371418,0.306255,other
3.06946,2.461314,14.423112,-1.2546,-1.15404,6.30652,0.911907,1.235254,9.386419,1.112671,0.599103,3.128346,1.054832,0.774017,1.768713,1.02475,1.362342,9.067119,1.089164,0.692458,1.144083,-1.136218,-1.077219,-0.782586,0.041817,-0.024038,0.268713,0.169641,0.171506,0.258564,0.411875,0.414132,0.508492,0.023204,0.055936,0.357899,7.353941,7.353941,7.353941,2.498563,2.498563,2.498563,4.821163,-6.792244,-4.569264,2.939653,2.644628,0.389019,1.714542,1.626231,0.623714,4.87632,-7.055484,-4.750518,-0.151926,-0.151926,-0.151926,-8.586584,-8.586584,-8.586584,-3.909255,8.027499,13.955683,4.992484,3.589439,3.816409,2.234387,1.894581,1.953563,-3.680535,8.200002,13.761501,0.370717,-0.779263,0.558159,0.281937,0.000723,-0.858972,0.382158,0.14477,0.177652,-0.825491,0.469679,0.205319,0.019613,0.00056,0.002291,0.002028,0.140046,0.023674,0.047866,0.045039,0.163327,-0.833672,0.465381,0.183803,other
3.99365,3.99365,15.009708,-0.172388,-0.225062,4.735876,1.279309,1.924542,9.346004,0.630981,0.758412,6.241133,0.794343,0.870868,2.498226,1.146858,1.922603,8.91149,1.510661,1.266671,0.861252,-0.999384,-1.167016,-0.763649,0.024469,0.029235,0.062167,0.338268,0.278544,0.153227,0.581608,0.527772,0.391443,-0.018945,-0.046689,0.065295,4.420942,4.420942,4.420942,2.789295,2.789295,2.789295,3.500497,-8.447707,-3.423302,0.259929,0.178571,0.403671,0.509832,0.422576,0.635351,3.474325,-8.552607,-3.426339,1.204356,1.204356,1.204356,-4.198924,-4.198924,-4.198924,-2.220374,10.370525,12.769449,1.24263,0.836211,7.609064,1.114733,0.914446,2.758453,-2.337492,10.42167,12.444183,0.046411,-0.775367,0.566473,0.323874,-0.165528,-0.857547,0.459425,0.198526,-0.068006,-0.815841,0.503919,0.26181,0.003849,0.000514,0.000934,0.002076,0.062037,0.022677,0.03056,0.045567,-0.085809,-0.818364,0.502831,0.269635,other
4.731087,3.598595,16.046431,-1.769369,-1.403045,5.190788,1.181263,1.390691,9.315644,1.480006,1.439033,6.531523,1.216555,1.199597,2.555684,1.046298,1.249811,8.880365,1.25532,0.865333,1.473339,-0.743432,-0.951991,-0.767925,0.111413,0.045075,0.4913,0.148894,0.195173,0.30937,0.385868,0.441784,0.556211,0.120332,0.031502,0.533218,3.810058,3.810058,3.810058,-5.448331,-5.448331,-5.448331,-0.495184,-8.958841,-2.575488,8.404757,0.205853,0.511409,2.899096,0.453711,0.715129,-1.935051,-9.175549,-2.296924,6.913943,6.913943,6.913943,-4.37108,-4.37108,-4.37108,1.659472,10.340506,11.888451,11.903559,1.77145,7.963164,3.450153,1.330958,2.821908,2.886419,10.156468,11.914343,-0.105366,-0.614874,0.65368,0.307513,-0.440846,-0.82421,0.475104,0.016889,-0.238214,-0.750187,0.576592,0.149902,0.008952,0.002954,0.003956,0.00994,0.094614,0.054352,0.062897,0.099697,-0.25131,-0.741033,0.612831,0.083865,other
